gloss,diff,high,low,stem_gloss,molly_pos
own,0,0.004901960784313725,0.004901960784313725,own,Definite Article
an,-0.004901960784313725,0.004901960784313725,0.00980392156862745,an,Definite Article
that,-0.014705882352941166,0.11274509803921569,0.12745098039215685,that,Definite Article
mhm,0.08333333333333333,0.08333333333333333,0,mhm,Interjection
yeah,0.06862745098039216,0.11764705882352941,0.049019607843137254,yeah,Interjection
um,0.03921568627450981,0.06862745098039216,0.029411764705882353,um,Interjection
uhhuh,0.029411764705882353,0.029411764705882353,0,uhhuh,Interjection
all_gone,0.02450980392156863,0.03431372549019608,0.00980392156862745,all_gone,Interjection
whoops,0.024509803921568627,0.024509803921568627,0,whoop,Interjection
yes,0.0196078431372549,0.07352941176470588,0.05392156862745098,ye,Interjection
hm,0.01470588235294118,0.03431372549019608,0.0196078431372549,hm,Interjection
byebye,0.014705882352941176,0.0392156862745098,0.024509803921568627,byebye,Interjection
hey,0.014705882352941176,0.0392156862745098,0.024509803921568627,hey,Interjection
